"Idcode","NOM_ENT_1","NOM_MUN_1","Tmean_MayOct","Precipmean_MayOct","Precipsum_MayOct","MedianAlt_med","Slope_mod","aplt2010","yldclass","acos2010","aper2010","aper10.","prod2010","rend2010","prec2010","valo2010"
"15005","México","Almoloya de Juárez",14.4644425679424,122.248218047548,122.248218047548,2621.07202148438,0.945728421211243,20390,4,20390,0,0,71365,3.5,2850,203390.25
"15025","México","Chalco",15.7855835946052,111.498733700763,111.498733700763,2414.88439941406,4.52130794525146,6100,4,6100,0,0,21350,3.5,3200,68320
"15106","México","Toluca",14.4133573746117,123.935818363007,123.935818363007,2653.68676757812,0.326632648706436,17822.2,4,17722.2,100,0.00561098,62027.7,3.5,2800,173677.56
"18011","Nayarit","Ruíz",28.056377385823,222.856860549729,222.856860549729,80.9846420288086,4.30545473098755,1175,4,1175,0,0,4112.5,3.5,2810,11556.12
"15101","México","Tianguistenco",13.5277575950523,144.508076657782,144.508076657782,2730.66870117188,4.41545915603638,5260,4,5260,0,0,18515.02,3.52,2900,53693.56
"16059","Michoacán de Ocampo","Nuevo Urecho",24.2543147549518,155.352953905119,155.352953905119,855,7.48241138458252,89,4,89,0,0,316.16,3.55,2800.03,885.26
"16012","Michoacán de Ocampo","Buenavista",26.5789496596789,127.8846115155,127.8846115155,582.564895629883,7.49307060241699,3063,4,3063,0,0,10913.78,3.56,2552.82,27860.9
"15051","México","Lerma",13.9255909907911,141.435319186077,141.435319186077,2678.25189208984,8.77115631103516,9968.7,4,9968.7,0,0,35588,3.57,3000,106764
"17022","Morelos","Tetela del Volcán",16.7101580186894,159.991975275197,159.991975275197,2207.5,8.44688320159912,840,4,840,0,0,3024,3.6,3500,10584
"18018","Nayarit","Tuxpan",27.900734621381,206.094782321091,206.094782321091,41.8365631103516,0.802088499069214,15,4,15,0,0,54,3.6,2850,153.9
"16006","Michoacán de Ocampo","Apatzingán",27.4750785598795,134.271202590529,134.271202590529,505.824127197266,1.30443358421326,678.5,4,678.5,0,0,2446.61,3.61,2404.74,5883.46
"07058","Chiapas","Nicolás Ruíz",25.4774097574168,179.877021000303,179.877021000303,812.707275390625,2.31991767883301,3550,4,3550,0,0,12920.25,3.64,3200,41344.8
"07098","Chiapas","Totolapa",25.6534071549125,171.348111957052,171.348111957052,839.434814453125,5.12837743759155,4773,4,4773,0,0,17361.37,3.64,3000,52084.11
"12046","Guerrero","Ometepec",27.651016501542,207.963898258419,207.963898258419,65.0277633666992,7.13482522964478,9730,4,9187,543,0.055806783,33422.31,3.64,1960.89,65537.47
"07106","Chiapas","Venustiano Carranza",25.0239737126416,191.05039806192,191.05039806192,829.78955078125,5.03432035446167,21520,4,21520,0,0,79228.15,3.68,3200,253530.08
"07108","Chiapas","Villaflores",25.0720950649066,173.655197219898,173.655197219898,822.836669921875,7.83883428573608,21612,4,21462,150,0.006940589,79255.54,3.69,2870.7,227519
"15072","México","Rayón",14.4509940353724,137.796800980201,137.796800980201,2693.46130371094,1.35379648208618,1391.09,4,1391.09,0,0,5147,3.7,3000,15441
"18010","Nayarit","Rosamorada",27.9745708235854,212.880865621117,212.880865621117,84.1307487487793,2.02648615837097,380,4,380,0,0,1406,3.7,2850,4007.1
"28032","Tamaulipas","Reynosa",27.3286441190165,67.2431874600068,67.2431874600068,92.840368270874,0.118118107318878,235,4,235,0,0,869.5,3.7,2500,2173.75
"12062","Guerrero","Tlacoachistlahuaca",25.5221211380429,249.882241990831,249.882241990831,779.363403320312,5.41671657562256,6030,4,6030,0,0,22453.31,3.72,2900,65114.59
"14092","Jalisco","Teocuitatlán de Corona",20.9598681766225,108.526297646298,108.526297646298,1547.01391601562,5.5588321685791,4720,4,4720,0,0,17551.21,3.72,2900,50898.51
"15085","México","Temascalcingo",14.8563454591951,120.583021461872,120.583021461872,2550.49536132812,12.6152677536011,11300,4,11300,0,0,42000,3.72,2800,117600
"30015","Veracruz de Ignacio de la Llave","Angel R. Cabada",26.6804629029102,295.124038305816,295.124038305816,39.2140159606934,0.294945478439331,1550,4,505,1045,0.674193548,1879.88,3.72,3500,6579.57
"14080","Jalisco","San Sebastián del Oeste",25.1578458162505,177.831785941151,177.831785941151,690,11.2327880859375,4460,4,4460,0,0,16616.03,3.73,2512.27,41744.03
"30181","Veracruz de Ignacio de la Llave","Tlalixcoyan",26.753989664078,200.144004621662,200.144004621662,55.5889015197754,0.10329132527113,350,4,96,254,0.725714286,358.08,3.73,3000.02,1074.25
"04006","Campeche","Hopelchén",26.8907080889793,147.756978407571,147.756978407571,149.128067016602,0.25941589474678,51667,4,49478,2189,0.042367469,185244.5,3.74,2998.69,555490.12
"07017","Chiapas","Cintalapa",24.5339756669038,141.536390592057,141.536390592057,738.88232421875,3.89368724822998,7517,4,7517,0,0,28151.17,3.74,3000,84453.5
"12011","Guerrero","Atoyac de Álvarez",25.2446573838785,220.9111125726,220.9111125726,603,13.7693338394165,12780,4,12740,40,0.00312989,47711.3,3.74,1599.62,76319.95
